,TeamName,Link,Country
0,KF Tirana,/wiki/KF_Tirana,Albania
1,KF Laçi,/wiki/KF_La%C3%A7i,Albania
2,FK Partizani Tirana,/wiki/FK_Partizani_Tirana,Albania
3,FK Kukësi,/wiki/FK_Kuk%C3%ABsi,Albania
4,KF Vllaznia Shkodër,/wiki/KF_Vllaznia_Shkod%C3%ABr,Albania
5,KF Teuta Durrës,/wiki/KF_Teuta_Durr%C3%ABs,Albania
6,KS Kastrioti,/wiki/KS_Kastrioti,Albania
7,KF Egnatia,/wiki/KF_Egnatia,Albania
8,FK Dinamo Tirana,/wiki/FK_Dinamo_Tirana,Albania
9,KF Skënderbeu Korçë,/wiki/KF_Sk%C3%ABnderbeu_Kor%C3%A7%C3%AB,Albania
10,Inter Club d'Escaldes,/wiki/Inter_Club_d%27Escaldes,Andorra
11,UE Santa Coloma,/wiki/UE_Santa_Coloma,Andorra
12,UE Sant Julià,/wiki/UE_Sant_Juli%C3%A0,Andorra
13,Atlètic Club d'Escaldes,/wiki/Atl%C3%A8tic_Club_d%27Escaldes,Andorra
14,FC Santa Coloma,/wiki/FC_Santa_Coloma,Andorra
15,FC Ordino,/wiki/FC_Ordino,Andorra
16,UE Engordany,/wiki/UE_Engordany,Andorra
17,CE Carroi,/wiki/CE_Carroi,Andorra
18,FC Pyunik,/wiki/FC_Pyunik,Armenia
19,FC Ararat-Armenia,/wiki/FC_Ararat-Armenia,Armenia
20,FC Alashkert,/wiki/FC_Alashkert,Armenia
21,FC Ararat Yerevan,/wiki/FC_Ararat_Yerevan,Armenia
22,FC Urartu,/wiki/FC_Urartu,Armenia
23,FC Noah,/wiki/FC_Noah,Armenia
24,Noravank SC,/wiki/Noravank_SC,Armenia
25,FC Van,/wiki/FC_Van,Armenia
26,BKMA Yerevan,/wiki/BKMA_Yerevan,Armenia
27,Sevan FC,/wiki/Sevan_FC,Armenia
28,FC Red Bull Salzburg,/wiki/FC_Red_Bull_Salzburg,Austria
29,SK Sturm Graz,/wiki/SK_Sturm_Graz,Austria
30,Wolfsberger AC,/wiki/Wolfsberger_AC,Austria
31,FK Austria Wien,/wiki/FK_Austria_Wien,Austria
32,SK Rapid Wien,/wiki/SK_Rapid_Wien,Austria
33,SV Ried,/wiki/SV_Ried,Austria
34,LASK,/wiki/LASK,Austria
35,WSG Tirol,/wiki/WSG_Tirol,Austria
36,TSV Hartberg,/wiki/TSV_Hartberg,Austria
37,FC Admira Wacker Mödling,/wiki/FC_Admira_Wacker_M%C3%B6dling,Austria
38,SC Rheindorf Altach,/wiki/SC_Rheindorf_Altach,Austria
39,Qarabağ FK,/wiki/Qaraba%C4%9F_FK,Azerbaijan
40,Neftçi PFK,/wiki/Neft%C3%A7i_PFK,Azerbaijan
41,Zira FK,/wiki/Zira_FK,Azerbaijan
42,Gabala FK,/wiki/Gabala_FK,Azerbaijan
43,Sabah FC (Azerbaijan),/wiki/Sabah_FC_(Azerbaijan),Azerbaijan
44,Sumgayit FK,/wiki/Sumgayit_FK,Azerbaijan
45,Shamakhi FK,/wiki/Shamakhi_FK,Azerbaijan
46,Sabail FK,/wiki/Sabail_FK,Azerbaijan
47,FC Shakhtyor Soligorsk,/wiki/FC_Shakhtyor_Soligorsk,Belarus
48,FC BATE Borisov,/wiki/FC_BATE_Borisov,Belarus
49,FC Dinamo Minsk,/wiki/FC_Dinamo_Minsk,Belarus
50,FC Gomel,/wiki/FC_Gomel,Belarus
51,FC Rukh Brest,/wiki/FC_Rukh_Brest,Belarus
52,FC Dynamo Brest,/wiki/FC_Dynamo_Brest,Belarus
53,FC Vitebsk,/wiki/FC_Vitebsk,Belarus
54,FC Torpedo-BelAZ Zhodino,/wiki/FC_Torpedo-BelAZ_Zhodino,Belarus
55,FC Slutsk,/wiki/FC_Slutsk,Belarus
56,FC Isloch Minsk Raion,/wiki/FC_Isloch_Minsk_Raion,Belarus
57,FC Neman Grodno,/wiki/FC_Neman_Grodno,Belarus
58,FC Minsk,/wiki/FC_Minsk,Belarus
59,FC Energetik-BGU Minsk,/wiki/FC_Energetik-BGU_Minsk,Belarus
60,FC Slavia Mozyr,/wiki/FC_Slavia_Mozyr,Belarus
61,FC Smorgon,/wiki/FC_Smorgon,Belarus
62,FC Sputnik Rechitsa,/wiki/FC_Sputnik_Rechitsa,Belarus
63,Royale Union Saint-Gilloise,/wiki/Royale_Union_Saint-Gilloise,Belgium
64,Club Brugge KV,/wiki/Club_Brugge_KV,Belgium
65,R.S.C. Anderlecht,/wiki/R.S.C._Anderlecht,Belgium
66,Royal Antwerp F.C.,/wiki/Royal_Antwerp_F.C.,Belgium
67,K.A.A. Gent,/wiki/K.A.A._Gent,Belgium
68,R. Charleroi S.C.,/wiki/R._Charleroi_S.C.,Belgium
69,K.V. Mechelen,/wiki/K.V._Mechelen,Belgium
70,K.R.C. Genk,/wiki/K.R.C._Genk,Belgium
71,Sint-Truidense V.V.,/wiki/Sint-Truidense_V.V.,Belgium
72,Cercle Brugge K.S.V.,/wiki/Cercle_Brugge_K.S.V.,Belgium
73,Oud-Heverlee Leuven,/wiki/Oud-Heverlee_Leuven,Belgium
74,K.V. Oostende,/wiki/K.V._Oostende,Belgium
75,K.V. Kortrijk,/wiki/K.V._Kortrijk,Belgium
76,Standard Liège,/wiki/Standard_Li%C3%A8ge,Belgium
77,K.A.S. Eupen,/wiki/K.A.S._Eupen,Belgium
78,S.V. Zulte Waregem,/wiki/S.V._Zulte_Waregem,Belgium
79,K Beerschot VA,/wiki/K_Beerschot_VA,Belgium
80,HŠK Zrinjski Mostar,/wiki/H%C5%A0K_Zrinjski_Mostar,Bosnia and Herzegovina
81,FK Tuzla City,/wiki/FK_Tuzla_City,Bosnia and Herzegovina
82,FK Borac Banja Luka,/wiki/FK_Borac_Banja_Luka,Bosnia and Herzegovina
83,FK Sarajevo,/wiki/FK_Sarajevo,Bosnia and Herzegovina
84,FK Velež Mostar,/wiki/FK_Vele%C5%BE_Mostar,Bosnia and Herzegovina
85,FK Željezničar Sarajevo,/wiki/FK_%C5%BDeljezni%C4%8Dar_Sarajevo,Bosnia and Herzegovina
86,NK Široki Brijeg,/wiki/NK_%C5%A0iroki_Brijeg,Bosnia and Herzegovina
87,HŠK Posušje,/wiki/H%C5%A0K_Posu%C5%A1je,Bosnia and Herzegovina
88,FK Leotar,/wiki/FK_Leotar,Bosnia and Herzegovina
89,FK Sloboda Tuzla,/wiki/FK_Sloboda_Tuzla,Bosnia and Herzegovina
90,FK Radnik Bijeljina,/wiki/FK_Radnik_Bijeljina,Bosnia and Herzegovina
91,FK Rudar Prijedor,/wiki/FK_Rudar_Prijedor,Bosnia and Herzegovina
92,PFC Ludogorets Razgrad,/wiki/PFC_Ludogorets_Razgrad,Bulgaria
93,PFC CSKA Sofia,/wiki/PFC_CSKA_Sofia,Bulgaria
94,Botev Plovdiv,/wiki/Botev_Plovdiv,Bulgaria
95,PFC Cherno More Varna,/wiki/PFC_Cherno_More_Varna,Bulgaria
96,PFC Levski Sofia,/wiki/PFC_Levski_Sofia,Bulgaria
97,PFC Slavia Sofia,/wiki/PFC_Slavia_Sofia,Bulgaria
98,PFC Lokomotiv Plovdiv,/wiki/PFC_Lokomotiv_Plovdiv,Bulgaria
99,PFC Beroe Stara Zagora,/wiki/PFC_Beroe_Stara_Zagora,Bulgaria
100,FC Arda Kardzhali,/wiki/FC_Arda_Kardzhali,Bulgaria
101,OFC Pirin Blagoevgrad,/wiki/OFC_Pirin_Blagoevgrad,Bulgaria
102,POFC Botev Vratsa,/wiki/POFC_Botev_Vratsa,Bulgaria
103,FC Tsarsko Selo Sofia,/wiki/FC_Tsarsko_Selo_Sofia,Bulgaria
104,GNK Dinamo Zagreb,/wiki/GNK_Dinamo_Zagreb,Croatia
105,HNK Hajduk Split,/wiki/HNK_Hajduk_Split,Croatia
106,NK Osijek,/wiki/NK_Osijek,Croatia
107,HNK Rijeka,/wiki/HNK_Rijeka,Croatia
108,NK Lokomotiva Zagreb,/wiki/NK_Lokomotiva_Zagreb,Croatia
109,HNK Gorica,/wiki/HNK_Gorica,Croatia
110,NK Slaven Belupo,/wiki/NK_Slaven_Belupo,Croatia
111,HNK Šibenik,/wiki/HNK_%C5%A0ibenik,Croatia
112,NK Hrvatski Dragovoljac,/wiki/NK_Hrvatski_Dragovoljac,Croatia
113,AC Omonia,/wiki/AC_Omonia,Cyprus
114,Anorthosis Famagusta FC,/wiki/Anorthosis_Famagusta_FC,Cyprus
115,APOEL FC,/wiki/APOEL_FC,Cyprus
116,Apollon Limassol FC,/wiki/Apollon_Limassol_FC,Cyprus
117,AEK Larnaca FC,/wiki/AEK_Larnaca_FC,Cyprus
118,AEL Limassol,/wiki/AEL_Limassol,Cyprus
119,Pafos FC,/wiki/Pafos_FC,Cyprus
120,Nea Salamis Famagusta FC,/wiki/Nea_Salamis_Famagusta_FC,Cyprus
121,Olympiakos Nicosia,/wiki/Olympiakos_Nicosia,Cyprus
122,Enosis Neon Paralimni FC,/wiki/Enosis_Neon_Paralimni_FC,Cyprus
123,Ethnikos Achna FC,/wiki/Ethnikos_Achna_FC,Cyprus
124,Doxa Katokopias FC,/wiki/Doxa_Katokopias_FC,Cyprus
125,SK Slavia Prague,/wiki/SK_Slavia_Prague,Czech Republic
126,FC Viktoria Plzeň,/wiki/FC_Viktoria_Plze%C5%88,Czech Republic
127,AC Sparta Prague,/wiki/AC_Sparta_Prague,Czech Republic
128,FC Baník Ostrava,/wiki/FC_Ban%C3%ADk_Ostrava,Czech Republic
129,FC Hradec Králové,/wiki/FC_Hradec_Kr%C3%A1lov%C3%A9,Czech Republic
130,FK Mladá Boleslav,/wiki/FK_Mlad%C3%A1_Boleslav,Czech Republic
131,FC Slovan Liberec,/wiki/FC_Slovan_Liberec,Czech Republic
132,SK Sigma Olomouc,/wiki/SK_Sigma_Olomouc,Czech Republic
133,SK Dynamo České Budějovice,/wiki/SK_Dynamo_%C4%8Cesk%C3%A9_Bud%C4%9Bjovice,Czech Republic
134,FC Fastav Zlín,/wiki/FC_Fastav_Zl%C3%ADn,Czech Republic
135,FK Teplice,/wiki/FK_Teplice,Czech Republic
136,FK Jablonec,/wiki/FK_Jablonec,Czech Republic
137,FK Pardubice,/wiki/FK_Pardubice,Czech Republic
138,MFK Karviná,/wiki/MFK_Karvin%C3%A1,Czech Republic
139,F.C. Copenhagen,/wiki/F.C._Copenhagen,Denmark
140,FC Midtjylland,/wiki/FC_Midtjylland,Denmark
141,Brøndby IF,/wiki/Br%C3%B8ndby_IF,Denmark
142,AaB Fodbold,/wiki/AaB_Fodbold,Denmark
143,Randers FC,/wiki/Randers_FC,Denmark
144,Silkeborg IF,/wiki/Silkeborg_IF,Denmark
145,Viborg FF,/wiki/Viborg_FF,Denmark
146,Aarhus Gymnastikforening,/wiki/Aarhus_Gymnastikforening,Denmark
147,Odense Boldklub,/wiki/Odense_Boldklub,Denmark
148,FC Nordsjælland,/wiki/FC_Nordsj%C3%A6lland,Denmark
149,Vejle Boldklub,/wiki/Vejle_Boldklub,Denmark
150,SønderjyskE Fodbold,/wiki/S%C3%B8nderjyskE_Fodbold,Denmark
151,Manchester City F.C.,/wiki/Manchester_City_F.C.,England
152,Manchester United F.C.,/wiki/Manchester_United_F.C.,England
153,Liverpool F.C.,/wiki/Liverpool_F.C.,England
154,Chelsea F.C.,/wiki/Chelsea_F.C.,England
155,Leicester City F.C.,/wiki/Leicester_City_F.C.,England
156,West Ham United F.C.,/wiki/West_Ham_United_F.C.,England
157,Tottenham Hotspur F.C.,/wiki/Tottenham_Hotspur_F.C.,England
158,Arsenal F.C.,/wiki/Arsenal_F.C.,England
159,Leeds United F.C.,/wiki/Leeds_United_F.C.,England
160,Everton F.C.,/wiki/Everton_F.C.,England
161,Aston Villa F.C.,/wiki/Aston_Villa_F.C.,England
162,Newcastle United F.C.,/wiki/Newcastle_United_F.C.,England
163,Wolverhampton Wanderers F.C.,/wiki/Wolverhampton_Wanderers_F.C.,England
164,Crystal Palace F.C.,/wiki/Crystal_Palace_F.C.,England
165,Southampton F.C.,/wiki/Southampton_F.C.,England
166,Brighton & Hove Albion F.C.,/wiki/Brighton_%26_Hove_Albion_F.C.,England
167,Burnley F.C.,/wiki/Burnley_F.C.,England
168,Fulham F.C.,/wiki/Fulham_F.C.,England
169,West Bromwich Albion F.C.,/wiki/West_Bromwich_Albion_F.C.,England
170,Sheffield United F.C.,/wiki/Sheffield_United_F.C.,England
171,FCI Levadia Tallinn,/wiki/FCI_Levadia_Tallinn,Estonia
172,FC Flora,/wiki/FC_Flora,Estonia
173,Paide Linnameeskond,/wiki/Paide_Linnameeskond,Estonia
174,Nõmme Kalju FC,/wiki/N%C3%B5mme_Kalju_FC,Estonia
175,Tallinna JK Legion,/wiki/Tallinna_JK_Legion,Estonia
176,JK Narva Trans,/wiki/JK_Narva_Trans,Estonia
177,FC Kuressaare,/wiki/FC_Kuressaare,Estonia
178,Viljandi JK Tulevik,/wiki/Viljandi_JK_Tulevik,Estonia
179,Tartu JK Tammeka,/wiki/Tartu_JK_Tammeka,Estonia
180,Pärnu JK Vaprus,/wiki/P%C3%A4rnu_JK_Vaprus,Estonia
181,Klaksvíkar Ítróttarfelag,/wiki/Klaksv%C3%ADkar_%C3%8Dtr%C3%B3ttarfelag,Faroe Islands
182,Havnar Bóltfelag,/wiki/Havnar_B%C3%B3ltfelag,Faroe Islands
183,Víkingur Gøta,/wiki/V%C3%ADkingur_G%C3%B8ta,Faroe Islands
184,NSÍ Runavík,/wiki/NS%C3%8D_Runav%C3%ADk,Faroe Islands
185,EB/Streymur,/wiki/EB/Streymur,Faroe Islands
186,Ítróttarfelag Fuglafjarðar,/wiki/%C3%8Dtr%C3%B3ttarfelag_Fuglafjar%C3%B0ar,Faroe Islands
187,Tvøroyrar Bóltfelag,/wiki/Tv%C3%B8royrar_B%C3%B3ltfelag,Faroe Islands
188,Kuopion Palloseura,/wiki/Kuopion_Palloseura,Finland
189,Helsingin Jalkapalloklubi,/wiki/Helsingin_Jalkapalloklubi,Finland
190,FC Inter Turku,/wiki/FC_Inter_Turku,Finland
191,Seinäjoen Jalkapallokerho,/wiki/Sein%C3%A4joen_Jalkapallokerho,Finland
192,HIFK Fotboll,/wiki/HIFK_Fotboll,Finland
193,Ilves (football),/wiki/Ilves_(football),Finland
194,FC Lahti,/wiki/FC_Lahti,Finland
195,FC Honka,/wiki/FC_Honka,Finland
196,FC Haka,/wiki/FC_Haka,Finland
197,IFK Mariehamn,/wiki/IFK_Mariehamn,Finland
198,AC Oulu,/wiki/AC_Oulu,Finland
199,Kotkan Työväen Palloilijat,/wiki/Kotkan_Ty%C3%B6v%C3%A4en_Palloilijat,Finland
200,Lille OSC,/wiki/Lille_OSC,France
201,Paris Saint-Germain F.C.,/wiki/Paris_Saint-Germain_F.C.,France
202,AS Monaco FC,/wiki/AS_Monaco_FC,France
203,Olympique Lyonnais,/wiki/Olympique_Lyonnais,France
204,Olympique de Marseille,/wiki/Olympique_de_Marseille,France
205,Stade Rennais F.C.,/wiki/Stade_Rennais_F.C.,France
206,RC Lens,/wiki/RC_Lens,France
207,Montpellier HSC,/wiki/Montpellier_HSC,France
208,OGC Nice,/wiki/OGC_Nice,France
209,FC Metz,/wiki/FC_Metz,France
210,AS Saint-Étienne,/wiki/AS_Saint-%C3%89tienne,France
211,FC Girondins de Bordeaux,/wiki/FC_Girondins_de_Bordeaux,France
212,Angers SCO,/wiki/Angers_SCO,France
213,Stade de Reims,/wiki/Stade_de_Reims,France
214,RC Strasbourg Alsace,/wiki/RC_Strasbourg_Alsace,France
215,FC Lorient,/wiki/FC_Lorient,France
216,FC Nantes,/wiki/FC_Nantes,France
217,Nîmes Olympique,/wiki/N%C3%AEmes_Olympique,France
218,Dijon FCO,/wiki/Dijon_FCO,France
219,FC Dinamo Batumi,/wiki/FC_Dinamo_Batumi,Georgia
220,FC Dinamo Tbilisi,/wiki/FC_Dinamo_Tbilisi,Georgia
221,FC Dila Gori,/wiki/FC_Dila_Gori,Georgia
222,FC Saburtalo Tbilisi,/wiki/FC_Saburtalo_Tbilisi,Georgia
223,FC Locomotive Tbilisi,/wiki/FC_Locomotive_Tbilisi,Georgia
224,FC Telavi,/wiki/FC_Telavi,Georgia
225,FC Samgurali Tsqaltubo,/wiki/FC_Samgurali_Tsqaltubo,Georgia
226,FC Torpedo Kutaisi,/wiki/FC_Torpedo_Kutaisi,Georgia
227,FC Shukura Kobuleti,/wiki/FC_Shukura_Kobuleti,Georgia
228,FC Samtredia,/wiki/FC_Samtredia,Georgia
229,FC Bayern Munich,/wiki/FC_Bayern_Munich,Germany
230,RB Leipzig,/wiki/RB_Leipzig,Germany
231,Borussia Dortmund,/wiki/Borussia_Dortmund,Germany
232,VfL Wolfsburg,/wiki/VfL_Wolfsburg,Germany
233,Eintracht Frankfurt,/wiki/Eintracht_Frankfurt,Germany
234,Borussia Mönchengladbach,/wiki/Borussia_M%C3%B6nchengladbach,Germany
235,VfB Stuttgart,/wiki/VfB_Stuttgart,Germany
236,SC Freiburg,/wiki/SC_Freiburg,Germany
237,FC Augsburg,/wiki/FC_Augsburg,Germany
238,Hertha BSC,/wiki/Hertha_BSC,Germany
239,Arminia Bielefeld,/wiki/Arminia_Bielefeld,Germany
240,SV Werder Bremen,/wiki/SV_Werder_Bremen,Germany
241,Europa F.C.,/wiki/Europa_F.C.,Gibraltar
242,St Joseph's F.C.,/wiki/St_Joseph%27s_F.C.,Gibraltar
243,Lincoln Red Imps F.C.,/wiki/Lincoln_Red_Imps_F.C.,Gibraltar
244,Lynx F.C.,/wiki/Lynx_F.C.,Gibraltar
245,F.C. Bruno's Magpies,/wiki/F.C._Bruno%27s_Magpies,Gibraltar
246,Lions Gibraltar F.C.,/wiki/Lions_Gibraltar_F.C.,Gibraltar
247,Mons Calpe S.C.,/wiki/Mons_Calpe_S.C.,Gibraltar
248,Europa Point F.C.,/wiki/Europa_Point_F.C.,Gibraltar
249,F.C. Boca Gibraltar,/wiki/F.C._Boca_Gibraltar,Gibraltar
250,Glacis United F.C.,/wiki/Glacis_United_F.C.,Gibraltar
251,Olympiacos F.C.,/wiki/Olympiacos_F.C.,Greece
252,PAOK FC,/wiki/PAOK_FC,Greece
253,AEK Athens F.C.,/wiki/AEK_Athens_F.C.,Greece
254,Aris Thessaloniki F.C.,/wiki/Aris_Thessaloniki_F.C.,Greece
255,Panathinaikos F.C.,/wiki/Panathinaikos_F.C.,Greece
256,PAS Giannina F.C.,/wiki/PAS_Giannina_F.C.,Greece
257,OFI Crete F.C.,/wiki/OFI_Crete_F.C.,Greece
258,Asteras Tripolis F.C.,/wiki/Asteras_Tripolis_F.C.,Greece
259,Panetolikos F.C.,/wiki/Panetolikos_F.C.,Greece
260,Volos F.C.,/wiki/Volos_F.C.,Greece
261,Ionikos F.C.,/wiki/Ionikos_F.C.,Greece
262,Atromitos F.C.,/wiki/Atromitos_F.C.,Greece
263,Apollon Smyrnis F.C.,/wiki/Apollon_Smyrnis_F.C.,Greece
264,Ferencvárosi TC,/wiki/Ferencv%C3%A1rosi_TC,Hungary
265,Puskás Akadémia FC,/wiki/Pusk%C3%A1s_Akad%C3%A9mia_FC,Hungary
266,Fehérvár FC,/wiki/Feh%C3%A9rv%C3%A1r_FC,Hungary
267,Paksi FC,/wiki/Paksi_FC,Hungary
268,Kisvárda FC,/wiki/Kisv%C3%A1rda_FC,Hungary
269,Újpest FC,/wiki/%C3%9Ajpest_FC,Hungary
270,MTK Budapest FC,/wiki/MTK_Budapest_FC,Hungary
271,Mezőkövesdi SE,/wiki/Mez%C5%91k%C3%B6vesdi_SE,Hungary
272,Zalaegerszegi TE,/wiki/Zalaegerszegi_TE,Hungary
273,Budapest Honvéd FC,/wiki/Budapest_Honv%C3%A9d_FC,Hungary
274,Diósgyőri VTK,/wiki/Di%C3%B3sgy%C5%91ri_VTK,Hungary
275,Budafoki MTE,/wiki/Budafoki_MTE,Hungary
276,Fimleikafélag Hafnarfjarðar,/wiki/Fimleikaf%C3%A9lag_Hafnarfjar%C3%B0ar,Iceland
277,Stjarnan men's football,/wiki/Stjarnan_men%27s_football,Iceland
278,Knattspyrnufélag Akureyrar,/wiki/Knattspyrnuf%C3%A9lag_Akureyrar,Iceland
279,Valur (club),/wiki/Valur_(club),Iceland
280,Knattspyrnufélagið Víkingur,/wiki/Knattspyrnuf%C3%A9lagi%C3%B0_V%C3%ADkingur,Iceland
281,Fylkir,/wiki/Fylkir,Iceland
282,Handknattleiksfélag Kópavogs,/wiki/Handknattleiksf%C3%A9lag_K%C3%B3pavogs,Iceland
283,Íþróttabandalag Akraness,/wiki/%C3%8D%C3%BEr%C3%B3ttabandalag_Akraness,Iceland
284,Grindavík men's football,/wiki/Grindav%C3%ADk_men%27s_football,Iceland
285,ÍBV men's football,/wiki/%C3%8DBV_men%27s_football,Iceland
286,Maccabi Haifa F.C.,/wiki/Maccabi_Haifa_F.C.,Israel
287,Maccabi Tel Aviv F.C.,/wiki/Maccabi_Tel_Aviv_F.C.,Israel
288,Hapoel Be'er Sheva F.C.,/wiki/Hapoel_Be%27er_Sheva_F.C.,Israel
289,Hapoel Jerusalem F.C.,/wiki/Hapoel_Jerusalem_F.C.,Israel
290,Hapoel Hadera F.C.,/wiki/Hapoel_Hadera_F.C.,Israel
291,F.C. Ashdod,/wiki/F.C._Ashdod,Israel
292,Bnei Sakhnin F.C.,/wiki/Bnei_Sakhnin_F.C.,Israel
293,Maccabi Bnei Reineh F.C.,/wiki/Maccabi_Bnei_Reineh_F.C.,Israel
294,Hapoel Tel Aviv F.C.,/wiki/Hapoel_Tel_Aviv_F.C.,Israel
295,Beitar Jerusalem F.C.,/wiki/Beitar_Jerusalem_F.C.,Israel
296,Hapoel Haifa F.C.,/wiki/Hapoel_Haifa_F.C.,Israel
297,Maccabi Netanya F.C.,/wiki/Maccabi_Netanya_F.C.,Israel
298,Hapoel Ironi Kiryat Shmona F.C.,/wiki/Hapoel_Ironi_Kiryat_Shmona_F.C.,Israel
299,Sektzia Ness Ziona F.C.,/wiki/Sektzia_Ness_Ziona_F.C.,Israel
300,Juventus F.C.,/wiki/Juventus_F.C.,Italy
301,Inter Milan,/wiki/Inter_Milan,Italy
302,Atalanta B.C.,/wiki/Atalanta_B.C.,Italy
303,S.S. Lazio,/wiki/S.S._Lazio,Italy
304,A.S. Roma,/wiki/A.S._Roma,Italy
305,A.C. Milan,/wiki/A.C._Milan,Italy
306,S.S.C. Napoli,/wiki/S.S.C._Napoli,Italy
307,U.S. Sassuolo Calcio,/wiki/U.S._Sassuolo_Calcio,Italy
308,Hellas Verona F.C.,/wiki/Hellas_Verona_F.C.,Italy
309,ACF Fiorentina,/wiki/ACF_Fiorentina,Italy
310,Udinese Calcio,/wiki/Udinese_Calcio,Italy
311,Cagliari Calcio,/wiki/Cagliari_Calcio,Italy
312,U.C. Sampdoria,/wiki/U.C._Sampdoria,Italy
313,Torino F.C.,/wiki/Torino_F.C.,Italy
314,Genoa C.F.C.,/wiki/Genoa_C.F.C.,Italy
315,U.S. Lecce,/wiki/U.S._Lecce,Italy
316,Brescia Calcio,/wiki/Brescia_Calcio,Italy
317,S.P.A.L.,/wiki/S.P.A.L.,Italy
318,FC Astana,/wiki/FC_Astana,Kazakhstan
319,FC Kairat,/wiki/FC_Kairat,Kazakhstan
320,FC Ordabasy,/wiki/FC_Ordabasy,Kazakhstan
321,FC Tobol,/wiki/FC_Tobol,Kazakhstan
322,FC Zhetysu,/wiki/FC_Zhetysu,Kazakhstan
323,FC Kaisar,/wiki/FC_Kaisar,Kazakhstan
324,FC Okzhetpes,/wiki/FC_Okzhetpes,Kazakhstan
325,FC Irtysh Pavlodar,/wiki/FC_Irtysh_Pavlodar,Kazakhstan
326,FC Shakhter Karagandy,/wiki/FC_Shakhter_Karagandy,Kazakhstan
327,FC Taraz,/wiki/FC_Taraz,Kazakhstan
328,FC Atyrau,/wiki/FC_Atyrau,Kazakhstan
329,FC Aktobe,/wiki/FC_Aktobe,Kazakhstan
330,FC Drita,/wiki/FC_Drita,Kosovo
331,SC Gjilani,/wiki/SC_Gjilani,Kosovo
332,KF Ballkani,/wiki/KF_Ballkani,Kosovo
